City,Date,Year,Month Name,Day,Season,PM2.5,NO,NO2,NOx,CO,SO2,O3,Benzene,AQI,AQI_Bucket
Amritsar,06/12/2019,2019,December,6,Winter,54.62,10.47,11.54,20.38,0.24,11.64,17.87,2.42,106,Moderate
Amritsar,07/12/2019,2019,December,7,Winter,74.16,10.88,10.78,18.86,0.82,18.45,17.24,2.74,121,Moderate
Amritsar,08/12/2019,2019,December,8,Winter,67,11.94,12.9,21.4,0.74,12.39,20.02,3.23,123,Moderate
Amritsar,09/12/2019,2019,December,9,Winter,103.57,14.29,15.08,23.71,0.7,12.35,19,3.15,187,Moderate
Amritsar,10/12/2019,2019,December,10,Winter,128.64,11.96,14.02,21.02,0.66,10.06,19.17,2.99,291,Poor
Amritsar,11/12/2019,2019,December,11,Winter,86,11.49,12.72,20.34,0.54,13.79,17.99,2.62,245,Poor
Amritsar,12/12/2019,2019,December,12,Winter,28.77,11.17,12.31,17.56,0.72,4.02,13.14,1.61,186,Moderate
Amritsar,13/12/2019,2019,December,13,Winter,24.95,12.59,14.74,22.04,0.77,4.81,16.97,1.6,43,Good
Amritsar,14/12/2019,2019,December,14,Winter,39.26,12.76,13.75,21.92,0.71,7.47,16.45,1.77,59,Satisfactory
Amritsar,15/12/2019,2019,December,15,Winter,30.72,10.88,11.28,20.2,0.64,6.67,22,1.76,58,Satisfactory
Amritsar,16/12/2019,2019,December,16,Winter,41.03,12.58,12.41,21.73,0.81,5.42,24.54,1.74,55,Satisfactory
Amritsar,17/12/2019,2019,December,17,Winter,49.45,13.29,13,21.65,0.65,5.64,23.2,1.89,74,Satisfactory
Amritsar,18/12/2019,2019,December,18,Winter,58.96,13.08,14.96,21.71,0.72,6.09,24.27,2.1,95,Satisfactory
Amritsar,19/12/2019,2019,December,19,Winter,63.18,12.08,12.09,21.16,0.68,5.98,19.51,1.68,107,Moderate
Amritsar,20/12/2019,2019,December,20,Winter,108.34,11.99,11.94,21,0.62,7.66,20.05,2.09,171,Moderate
Amritsar,21/12/2019,2019,December,21,Winter,52.95,13.13,13.09,21.88,0.63,6.56,26.89,2.08,184,Moderate
Amritsar,22/12/2019,2019,December,22,Winter,62.11,11.19,12.12,20.52,0.61,5.04,23.21,2,96,Satisfactory
Amritsar,23/12/2019,2019,December,23,Winter,69.27,12.78,13.24,21.79,0.53,7.18,23.26,2.02,108,Moderate
Amritsar,24/12/2019,2019,December,24,Winter,97.42,9.53,9.83,18.23,0.64,7.05,32.52,1.78,210,Poor
Amritsar,25/12/2019,2019,December,25,Winter,52.73,10.3,10.53,19.5,0.74,6.27,48.65,1.72,141,Moderate
Amritsar,26/12/2019,2019,December,26,Winter,58.57,10.44,10.62,20.2,0.8,6.96,46.13,1.69,91,Satisfactory
Amritsar,27/12/2019,2019,December,27,Winter,77.3,10.48,10.73,19.7,0.73,11.3,53.99,1.68,126,Moderate
Amritsar,28/12/2019,2019,December,28,Winter,80.31,9.62,10.78,19.14,0.64,11.47,66.65,1.59,156,Moderate
Amritsar,29/12/2019,2019,December,29,Winter,80.8,10.05,10.88,19.25,0.75,10.01,66.7,1.62,193,Moderate
Amritsar,30/12/2019,2019,December,30,Winter,71.17,9.78,10.78,17.36,0.4,7.65,31.33,1.56,155,Moderate
Amritsar,31/12/2019,2019,December,31,Winter,71,9.93,10,19.75,0.59,8.42,24.9,1.75,111,Moderate
Amritsar,01/01/2020,2020,January,1,Winter,94.38,9.91,10.38,18.95,0.42,15.79,40.21,2.62,184,Moderate
Amritsar,02/01/2020,2020,January,2,Winter,80.8,9.91,10.44,18.85,0.3,12.54,7.82,2.77,196,Moderate
Amritsar,03/01/2020,2020,January,3,Winter,78.22,9.63,10.03,18.02,0.62,11.43,27,2.61,160,Moderate
Amritsar,04/01/2020,2020,January,4,Winter,96.86,9.35,10.02,19.27,0.11,8.12,36.13,3.43,221,Poor
Amritsar,05/01/2020,2020,January,5,Winter,65.12,9.51,9.67,17.61,0.28,11.92,32.48,2.25,156,Moderate
Amritsar,06/01/2020,2020,January,6,Winter,33.39,10.21,10.43,20.35,0.6,6.75,38.56,1.74,88,Satisfactory
Amritsar,07/01/2020,2020,January,7,Winter,36.74,9.75,9.77,19.28,0.57,7.53,8.63,1.76,58,Satisfactory
Amritsar,08/01/2020,2020,January,8,Winter,24.14,9.89,10.12,18.84,0.62,6.32,22.11,1.51,46,Good
Amritsar,09/01/2020,2020,January,9,Winter,56.17,9.68,10.05,19.07,0.68,20.5,23.77,2.11,66,Satisfactory
Amritsar,10/01/2020,2020,January,10,Winter,55.79,9.78,9.74,19.48,0.47,6.87,39.56,2.14,103,Moderate
Amritsar,11/01/2020,2020,January,11,Winter,55.64,9.37,10.19,19.5,0.73,10.87,36.72,2.02,87,Satisfactory
Amritsar,12/01/2020,2020,January,12,Winter,44.56,9.55,9.99,18.76,0.8,17.99,17.71,2.29,87,Satisfactory
Amritsar,13/01/2020,2020,January,13,Winter,47,9.67,10.01,19.68,0.4,6.24,25.62,1.83,74,Satisfactory
Amritsar,14/01/2020,2020,January,14,Winter,31.25,9.17,9.89,17.82,0.66,6.54,20.19,1.45,64,Satisfactory
Amritsar,15/01/2020,2020,January,15,Winter,54.01,9.84,9.78,19.38,0.72,7.23,,1.99,166,Moderate
Amritsar,16/01/2020,2020,January,16,Winter,45.32,9.43,9.85,19.25,0.91,7.72,,2.27,85,Satisfactory
Amritsar,17/01/2020,2020,January,17,Winter,77.37,9.63,10.03,19.65,0.89,7.44,,2.55,121,Moderate
Amritsar,18/01/2020,2020,January,18,Winter,68.12,9.46,9.98,18.75,0.61,6.68,,2.13,153,Moderate
Amritsar,19/01/2020,2020,January,19,Winter,57.46,9.3,10.02,19.25,0.63,6.57,,2.07,111,Moderate
Amritsar,20/01/2020,2020,January,20,Winter,64.93,9.57,10.17,19.06,0.68,7.84,15.94,2.09,111,Moderate
Amritsar,21/01/2020,2020,January,21,Winter,37.05,9.44,10.04,19.14,0.63,15.16,22.56,1.87,98,Satisfactory
Amritsar,22/01/2020,2020,January,22,Winter,21.05,9.72,10.07,19.58,0.8,7.78,39.9,1.59,63,Satisfactory
Amritsar,23/01/2020,2020,January,23,Winter,27.42,9.68,10.01,17.86,0.73,7.05,40.09,1.5,63,Satisfactory
Amritsar,24/01/2020,2020,January,24,Winter,43.96,9.54,9.93,19.14,0.6,8.46,43.35,1.85,70,Satisfactory
Amritsar,25/01/2020,2020,January,25,Winter,71.6,10.19,10.17,20.05,0.7,11.04,43.22,2.35,108,Moderate
Amritsar,26/01/2020,2020,January,26,Winter,45.03,9.88,10.69,18.16,0.73,15.78,38.27,1.88,107,Moderate
Amritsar,27/01/2020,2020,January,27,Winter,61.56,10.19,10.77,19.76,0.64,11.17,32.32,2.11,90,Satisfactory
Amritsar,28/01/2020,2020,January,28,Winter,42.4,10.76,10.82,20.45,0.64,10.61,23.37,1.66,96,Satisfactory
Amritsar,29/01/2020,2020,January,29,Winter,20.48,9.53,10.7,19.55,0.98,6.87,28.73,1.64,55,Satisfactory
Amritsar,30/01/2020,2020,January,30,Winter,27.36,10,10.35,19.39,0.55,6.8,31.21,1.69,60,Satisfactory
Amritsar,31/01/2020,2020,January,31,Winter,21.43,10.12,10.15,19.02,0.47,9.95,27.1,1.96,102,Moderate
Amritsar,04/02/2020,2020,February,4,Winter,67.56,27.82,21,36.62,0.49,6.95,37.74,2.09,111,Moderate
Amritsar,05/02/2020,2020,February,5,Winter,55.53,17.32,12.2,26.8,0.54,7.43,33.11,1.74,99,Satisfactory
Amritsar,06/02/2020,2020,February,6,Winter,74.16,18.61,11.48,27.36,0.46,8.99,39.2,1.85,121,Moderate
Amritsar,07/02/2020,2020,February,7,Winter,62.25,17.94,13.47,28.51,0.33,7.3,41.35,1.83,124,Moderate
Amritsar,08/02/2020,2020,February,8,Winter,92.15,17.97,11.59,26.63,0.9,9.69,43.9,2.15,152,Moderate
Amritsar,09/02/2020,2020,February,9,Winter,113.54,17.18,11.18,27.37,0.21,10.05,42.74,2.99,282,Poor
Amritsar,10/02/2020,2020,February,10,Winter,63.68,17.14,10.13,26.59,1.03,7.86,42.74,1.94,144,Moderate
Amritsar,11/02/2020,2020,February,11,Winter,84.93,17.48,10.4,26.72,0.3,9.07,35.77,2.31,190,Moderate
Amritsar,12/02/2020,2020,February,12,Winter,38.88,18.01,13.17,27.73,0.5,2.5,37.25,1.71,133,Moderate
Amritsar,13/02/2020,2020,February,13,Winter,42.33,17.64,11.27,26.66,0.76,10.04,35.09,1.63,112,Moderate
Amritsar,14/02/2020,2020,February,14,Winter,33.14,16.9,10.48,27,0.66,8.33,39.73,1.58,107,Moderate
Amritsar,15/02/2020,2020,February,15,Winter,41.33,17.35,10.41,27.39,0.78,10.64,43.24,1.91,106,Moderate
Amritsar,16/02/2020,2020,February,16,Winter,69.4,17.22,10.43,26.33,0.44,10.13,45.83,2.41,132,Moderate
Amritsar,17/02/2020,2020,February,17,Winter,66.39,18.06,11.42,27.62,0.87,9.98,45.62,2.11,139,Moderate
Amritsar,18/02/2020,2020,February,18,Winter,59.59,17.56,11.48,27.13,0.74,11.15,50.25,2,128,Moderate
Amritsar,19/02/2020,2020,February,19,Winter,57.33,16.93,10.83,27.02,0.53,10.47,,1.9,127,Moderate
Amritsar,20/02/2020,2020,February,20,Winter,49.81,18.38,10.75,27.53,0.76,14.83,,1.75,124,Moderate
Amritsar,21/02/2020,2020,February,21,Winter,16.41,17.35,11.36,27.52,0.81,10.72,,1.5,92,Satisfactory
Amritsar,22/02/2020,2020,February,22,Winter,34.54,28.08,25.44,38.34,0.68,10.19,,1.65,94,Satisfactory
Amritsar,23/02/2020,2020,February,23,Winter,42.49,24.45,19.65,35.85,0.72,9.64,,1.76,101,Moderate
Amritsar,24/02/2020,2020,February,24,Winter,54.38,19.87,12.86,27.54,0.63,14.43,,1.73,113,Moderate
Amritsar,25/02/2020,2020,February,25,Winter,58.55,19.04,13.05,29.17,0.76,9.63,32.13,1.8,121,Moderate
Amritsar,26/02/2020,2020,February,26,Winter,71.27,21.07,14.77,29.73,0.31,9.85,30.07,1.79,134,Moderate
Amritsar,27/02/2020,2020,February,27,Winter,58.17,19.01,13.89,27.62,1.33,7.4,27.53,1.72,127,Moderate
Amritsar,28/02/2020,2020,February,28,Winter,67.24,17.4,11.73,26.33,0.64,11.92,29.72,1.7,128,Moderate
Amritsar,29/02/2020,2020,February,29,Winter,26.4,19.15,12.31,29.03,0.62,11.35,30.35,1.53,108,Moderate
Amritsar,01/03/2020,2020,March,1,Summer,22.15,17.9,12.55,27.8,0.83,21.92,29.65,1.44,76,Satisfactory
Amritsar,02/03/2020,2020,March,2,Summer,32.33,17.54,11.96,27.44,0.78,9.91,29.66,1.55,92,Satisfactory
Amritsar,03/03/2020,2020,March,3,Summer,33.46,18.06,11.38,27.5,0.61,10.78,30.09,1.61,101,Moderate
Amritsar,04/03/2020,2020,March,4,Summer,55.5,17.43,10.82,26.5,0.44,13.85,32.2,1.81,118,Moderate
Amritsar,05/03/2020,2020,March,5,Summer,22.09,17.71,11.96,28.12,0.72,14.65,30.07,1.44,97,Satisfactory
Amritsar,06/03/2020,2020,March,6,Summer,17.61,17.42,11.14,26.82,0.74,11.49,27.23,1.38,68,Satisfactory
Amritsar,07/03/2020,2020,March,7,Summer,17,17.79,11.2,27.07,0.82,8.51,29.45,1.39,59,Satisfactory
Amritsar,08/03/2020,2020,March,8,Summer,25.44,17.05,11.41,26.88,0.82,11.62,30.24,1.46,70,Satisfactory
Amritsar,09/03/2020,2020,March,9,Summer,20.71,17.35,11.81,26.87,0.82,6.74,32.77,1.43,75,Satisfactory
Amritsar,10/03/2020,2020,March,10,Summer,43.24,18.82,12.66,28.37,0.73,9.44,34.08,1.66,96,Satisfactory
Amritsar,11/03/2020,2020,March,11,Summer,40.15,18.14,13.18,28.04,0.62,8.1,30.16,1.65,107,Moderate
Amritsar,13/03/2020,2020,March,13,Summer,17.08,17.22,11.62,26.98,0.78,8.52,36.31,1.39,72,Satisfactory
Amritsar,14/03/2020,2020,March,14,Summer,21.05,18.49,11.98,28.28,0.7,12.75,32.14,1.38,69,Satisfactory
Amritsar,15/03/2020,2020,March,15,Summer,25.65,17.4,12.99,27.07,0.73,21.74,32.95,1.47,79,Satisfactory
Amritsar,16/03/2020,2020,March,16,Summer,38.07,17.57,12.39,27.5,0.68,9.82,33.3,1.57,95,Satisfactory
Amritsar,17/03/2020,2020,March,17,Summer,41.78,18.18,10.31,27.98,0.72,9.56,31.27,1.57,106,Moderate
Amritsar,18/03/2020,2020,March,18,Summer,45.62,17.72,10.48,25.35,0.64,9.77,30.51,1.46,110,Moderate
Amritsar,19/03/2020,2020,March,19,Summer,39.08,17.38,10.28,27.28,0.62,16.11,30.29,1.58,107,Moderate
Amritsar,20/03/2020,2020,March,20,Summer,40.61,17.07,10.97,27.42,0.48,27.59,31.58,1.8,111,Moderate
Amritsar,21/03/2020,2020,March,21,Summer,33.78,17.69,11.47,27.21,0.68,23.06,26.71,1.55,96,Satisfactory
Amritsar,22/03/2020,2020,March,22,Summer,24.57,17.13,11.39,26.89,0.7,19.46,31.11,1.48,93,Satisfactory
Amritsar,23/03/2020,2020,March,23,Summer,30.12,17.86,10.34,27.64,0.84,9.34,31.26,1.43,78,Satisfactory
Amritsar,24/03/2020,2020,March,24,Summer,26.35,18.2,10.94,27.27,1.27,7.73,29.78,1.43,86,Satisfactory
Amritsar,25/03/2020,2020,March,25,Summer,15.6,18.43,10.79,27.91,0.86,6.41,28.07,1.36,64,Satisfactory
Amritsar,26/03/2020,2020,March,26,Summer,22.63,17.79,11.82,27.96,0.73,7.16,32.26,1.41,66,Satisfactory
Amritsar,27/03/2020,2020,March,27,Summer,20.29,21.42,13.83,29.21,0.73,6.22,25.63,1.35,71,Satisfactory
Amritsar,28/03/2020,2020,March,28,Summer,12.03,19.93,12.76,30.41,0.76,6.2,22.84,1.34,54,Satisfactory
Amritsar,29/03/2020,2020,March,29,Summer,17.74,17.36,11.56,27.43,0.76,6.7,22.1,1.37,60,Satisfactory
Amritsar,30/03/2020,2020,March,30,Summer,21.35,17.8,11.05,26.97,0.71,7.21,22.14,1.37,67,Satisfactory
Amritsar,31/03/2020,2020,March,31,Summer,21.91,17.8,10.68,27.51,0.78,6.82,22.14,1.38,69,Satisfactory
Amritsar,01/04/2020,2020,April,1,Summer,14.18,18.48,10.29,27.96,0.77,6.3,22.14,1.32,65,Satisfactory
Amritsar,02/04/2020,2020,April,2,Summer,13.97,17.69,10.82,27.94,0.78,6.22,22.14,1.34,63,Satisfactory
Amritsar,03/04/2020,2020,April,3,Summer,17.52,17.88,10.69,26.99,0.76,6.57,22.14,1.34,61,Satisfactory
Amritsar,04/04/2020,2020,April,4,Summer,22.8,17.62,10.84,27.79,0.69,7.4,22.14,1.42,58,Satisfactory
Amritsar,05/04/2020,2020,April,5,Summer,34.73,16.81,10.78,25.99,0.69,8.68,22.14,1.52,60,Satisfactory
Amritsar,12/04/2020,2020,April,12,Summer,20.09,18.33,11.21,28.01,0.85,8.49,22.14,1.4,45,Good
Amritsar,13/04/2020,2020,April,13,Summer,29.47,17.65,11.55,27.61,0.59,9.63,22.14,1.65,52,Satisfactory
Amritsar,14/04/2020,2020,April,14,Summer,22.37,17.34,10.67,23.17,0.64,6.33,22.14,1.21,59,Satisfactory
Amritsar,15/04/2020,2020,April,15,Summer,32.05,20.86,18.96,28.66,0.73,6.55,23.62,1.26,68,Satisfactory
Amritsar,16/04/2020,2020,April,16,Summer,22.61,23.03,17.01,33.2,0.73,7.65,36.07,1.39,61,Satisfactory
Amritsar,17/04/2020,2020,April,17,Summer,17.45,18.7,11.4,28.05,0.7,7.76,42.81,1.38,45,Good
Amritsar,18/04/2020,2020,April,18,Summer,8.8,21.51,11.43,31.09,0.8,5.88,43.02,1.32,43,Good
Amritsar,19/04/2020,2020,April,19,Summer,11.33,18.12,11.33,27.79,0.82,8.85,43.02,1.35,44,Good
Amritsar,20/04/2020,2020,April,20,Summer,16.35,17.86,12.25,28.27,0.68,9.64,43.02,1.37,51,Satisfactory
Amritsar,21/04/2020,2020,April,21,Summer,9.84,19.48,13.03,29.25,0.79,13.02,43.02,1.33,47,Good
Amritsar,22/04/2020,2020,April,22,Summer,13.72,21.63,14.02,31.4,0.74,9.17,43.02,1.36,48,Good
Amritsar,23/04/2020,2020,April,23,Summer,14.67,23.49,16.84,33.39,0.84,8.59,43.02,1.31,56,Satisfactory
Amritsar,24/04/2020,2020,April,24,Summer,20.68,20.44,16.25,32.22,0.67,8.94,43.02,1.3,68,Satisfactory
Amritsar,25/04/2020,2020,April,25,Summer,15.74,22.04,16.48,30.38,0.77,17.19,43.02,1.29,74,Satisfactory
Amritsar,26/04/2020,2020,April,26,Summer,14.78,19.74,15.44,29.59,0.69,11.17,43.02,1.3,60,Satisfactory
Amritsar,27/04/2020,2020,April,27,Summer,11.2,38.1,32.33,46.31,0.75,6.42,44.12,1.25,51,Satisfactory
Amritsar,28/04/2020,2020,April,28,Summer,13.63,28.22,21.57,37.97,0.79,7.08,43.57,1.3,56,Satisfactory
Amritsar,29/04/2020,2020,April,29,Summer,24.61,26.75,19.19,36.02,0.76,9,43.57,1.3,72,Satisfactory
Amritsar,30/04/2020,2020,April,30,Summer,23.98,25.07,17.26,34.95,0.76,8.5,43.57,1.3,102,Moderate
Amritsar,01/05/2020,2020,May,1,Summer,32.01,20.93,14.93,30.16,0.78,9.5,43.57,1.3,118,Moderate
Amritsar,02/05/2020,2020,May,2,Summer,28.37,20.75,16.36,29.69,0.63,8.45,43.57,1.29,118,Moderate
Amritsar,03/05/2020,2020,May,3,Summer,15.46,23.93,18.66,35.6,0.78,7.07,26.82,1.29,91,Satisfactory
Amritsar,04/05/2020,2020,May,4,Summer,19.64,19.2,16.05,28.92,0.81,8.64,27.11,1.29,61,Satisfactory
Amritsar,05/05/2020,2020,May,5,Summer,18.81,19.59,14.69,29.97,0.73,7.44,27.1,1.3,77,Satisfactory
Amritsar,06/05/2020,2020,May,6,Summer,23.32,19.26,12.39,28.6,0.82,10.3,27.11,1.3,75,Satisfactory
Amritsar,07/05/2020,2020,May,7,Summer,18.39,33.61,26.95,39.88,0.73,8.99,37.82,1.23,60,Satisfactory
Amritsar,08/05/2020,2020,May,8,Summer,34,30.38,24.27,39.73,0.83,10.06,43.77,1.3,71,Satisfactory
Amritsar,09/05/2020,2020,May,9,Summer,37.31,22.45,18.78,31.81,0.75,10.47,43.73,1.29,87,Satisfactory
Amritsar,10/05/2020,2020,May,10,Summer,39.62,20.3,13.69,30.2,0.7,10.16,43.77,1.3,94,Satisfactory
Amritsar,11/05/2020,2020,May,11,Summer,32.14,20.67,15.65,30.08,0.67,7.82,43.77,1.3,75,Satisfactory
Amritsar,12/05/2020,2020,May,12,Summer,24.59,21.79,16.79,30.38,0.82,9.74,43.77,1.3,61,Satisfactory
Amritsar,13/05/2020,2020,May,13,Summer,44.76,19.55,15.63,30.07,0.74,9.08,43.77,1.27,67,Satisfactory
Amritsar,14/05/2020,2020,May,14,Summer,42.22,21.56,15.84,32.32,0.61,9.03,43.77,1.3,95,Satisfactory
Amritsar,15/05/2020,2020,May,15,Summer,21.61,22.88,15.94,32.43,0.91,9.9,43.77,1.3,52,Satisfactory
Amritsar,16/05/2020,2020,May,16,Summer,35.91,20.01,14.83,29.75,0.75,9.26,43.77,1.3,61,Satisfactory
Amritsar,17/05/2020,2020,May,17,Summer,39.96,20.35,15.98,30.7,0.75,11.8,43.77,1.3,75,Satisfactory
Amritsar,18/05/2020,2020,May,18,Summer,44.56,22.31,17.48,27.56,0.67,26.68,43.77,1.06,76,Satisfactory
Amritsar,19/05/2020,2020,May,19,Summer,34.55,21.5,14.96,30.21,0.69,22.25,52.91,1.3,65,Satisfactory
Amritsar,20/05/2020,2020,May,20,Summer,43.35,21.26,15,30.04,0.69,11.86,64.78,1.3,68,Satisfactory
Amritsar,21/05/2020,2020,May,21,Summer,52.58,20.08,15.55,30.04,0.68,10.76,64.78,1.3,80,Satisfactory
Amritsar,22/05/2020,2020,May,22,Summer,68.2,19.12,13.29,29.59,0.62,23.16,41.89,1.29,115,Moderate
Amritsar,23/05/2020,2020,May,23,Summer,54.78,18.45,12.8,28.26,0.48,18.35,17,1.3,106,Moderate
Amritsar,24/05/2020,2020,May,24,Summer,29.01,18.64,11.41,26.45,0.61,19.01,17,1.22,74,Satisfactory
Amritsar,25/05/2020,2020,May,25,Summer,16.29,17.69,10.6,27.18,0.76,17.75,17,1.3,69,Satisfactory
Amritsar,26/05/2020,2020,May,26,Summer,51.47,18.07,10.31,27.12,0.97,,17,1.29,81,Satisfactory
Amritsar,27/05/2020,2020,May,27,Summer,37.21,16.63,10.97,26.78,0.56,14.45,17,1.3,77,Satisfactory
Amritsar,28/05/2020,2020,May,28,Summer,43.68,17.75,10.33,27.66,0.49,10.98,17,1.3,81,Satisfactory
Amritsar,29/05/2020,2020,May,29,Summer,29.99,19.41,11.22,28.95,0.73,12.3,17,1.3,67,Satisfactory
Amritsar,30/05/2020,2020,May,30,Summer,24.14,20.17,14.87,31.03,0.66,6.28,17,1.3,63,Satisfactory
Amritsar,31/05/2020,2020,May,31,Summer,13.33,27.84,22.14,37.92,0.63,8.09,17,1.3,48,Good
Amritsar,01/06/2020,2020,June,1,Monsoon,19.12,30.02,39.8,34.58,0.71,11.8,22.8,1.23,43,Good
Amritsar,02/06/2020,2020,June,2,Monsoon,26.84,23.06,21.62,34.76,0.68,17.71,28.48,1.3,65,Satisfactory
Amritsar,03/06/2020,2020,June,3,Monsoon,26.72,20.32,12.54,29.09,0.58,10.48,36.15,1.3,450,Severe
Amritsar,04/06/2020,2020,June,4,Monsoon,30.13,20.82,15.08,28.88,0.74,16.68,33.88,1.22,193,Moderate
Amritsar,05/06/2020,2020,June,5,Monsoon,20.75,24.69,21.48,34.62,0.72,10.49,40.04,1.3,56,Satisfactory
Amritsar,06/06/2020,2020,June,6,Monsoon,15.5,21.22,15.84,30.45,0.77,8.67,39.85,1.3,41,Good
Amritsar,07/06/2020,2020,June,7,Monsoon,26.99,21.13,15.1,30.36,0.59,6.56,40.04,1.3,42,Good
Amritsar,08/06/2020,2020,June,8,Monsoon,27.07,19.32,13.52,27.74,0.59,8.56,39.64,1.29,51,Satisfactory
Amritsar,09/06/2020,2020,June,9,Monsoon,29.6,17.94,11.23,25.93,0.57,12.01,,1.3,77,Satisfactory
Amritsar,10/06/2020,2020,June,10,Monsoon,28.73,17.59,10.65,25.98,0.55,13.47,,1.3,80,Satisfactory
Amritsar,11/06/2020,2020,June,11,Monsoon,31.56,16.76,9.4,25.22,0.72,11.08,,1.3,79,Satisfactory
Amritsar,12/06/2020,2020,June,12,Monsoon,27.87,16.68,9.17,24.32,0.71,12.02,30.79,1.29,89,Satisfactory
Amritsar,13/06/2020,2020,June,13,Monsoon,24.76,16.61,8.31,24.6,0.65,10.76,32.52,1.3,104,Moderate
Amritsar,14/06/2020,2020,June,14,Monsoon,31.92,15.92,8.01,23.81,0.69,10.86,32.52,1.3,87,Satisfactory
Amritsar,15/06/2020,2020,June,15,Monsoon,28.49,16.93,7.97,24.78,0.75,16.73,32.52,1.3,103,Moderate
Amritsar,16/06/2020,2020,June,16,Monsoon,37,19.94,16.04,26.67,0.68,13.24,31.49,1.21,110,Moderate
Amritsar,17/06/2020,2020,June,17,Monsoon,40.46,31.85,26.2,42.08,0.73,9.2,16.56,1.3,117,Moderate
Amritsar,18/06/2020,2020,June,18,Monsoon,34.6,21.98,18.43,30.65,0.74,12.51,16.48,1.3,117,Moderate
Amritsar,19/06/2020,2020,June,19,Monsoon,47.94,19.11,12.63,27.07,0.62,10.92,16.48,1.3,131,Moderate
Amritsar,20/06/2020,2020,June,20,Monsoon,55.58,,53.34,77.94,0.71,5.53,16.48,1.3,120,Moderate
Amritsar,21/06/2020,2020,June,21,Monsoon,60.73,40.01,33.92,51.61,0.7,4.72,16.48,1.3,120,Moderate
Amritsar,22/06/2020,2020,June,22,Monsoon,39.81,23.84,18.72,32.27,0.68,4.64,16.48,1.3,72,Satisfactory
Amritsar,23/06/2020,2020,June,23,Monsoon,68.81,18.9,12.03,25.83,0.67,4.36,16.48,1.3,125,Moderate
Amritsar,24/06/2020,2020,June,24,Monsoon,23.77,17,9.97,23.17,0.59,7.21,16.48,1.2,130,Moderate
Amritsar,25/06/2020,2020,June,25,Monsoon,31.68,18,10.71,25.96,0.74,5.83,16.48,1.3,59,Satisfactory
Amritsar,26/06/2020,2020,June,26,Monsoon,32.85,23.35,18.01,31.94,0.66,4.79,16.48,1.29,83,Satisfactory
Amritsar,27/06/2020,2020,June,27,Monsoon,51.1,25.25,20.8,35.75,0.66,4.55,16.48,1.3,74,Satisfactory
Amritsar,28/06/2020,2020,June,28,Monsoon,45.24,23.11,17.9,27.47,0.63,5.22,16.48,1.16,85,Satisfactory
Amritsar,29/06/2020,2020,June,29,Monsoon,26.77,26.99,19.83,34.03,0.67,4.89,16.48,1.3,49,Good
Amritsar,30/06/2020,2020,June,30,Monsoon,41.64,22.03,15.97,30.6,0.69,4.67,16.48,1.3,66,Satisfactory
Amritsar,01/07/2020,2020,July,1,Monsoon,57.67,32.81,15.11,30.2,0.59,3.48,16.48,1.3,78,Satisfactory
Bengaluru,21/03/2015,2015,March,21,Summer,48.59,3.47,27,18.04,,1.94,52.96,,91,Satisfactory
Bengaluru,22/03/2015,2015,March,22,Summer,47.38,2.84,22.39,15.33,,2.05,71.85,,120,Moderate
Bengaluru,23/03/2015,2015,March,23,Summer,65.65,3.1,26.35,17.45,,6.3,72.84,,154,Moderate
Bengaluru,24/03/2015,2015,March,24,Summer,60.47,5.39,29.87,20.88,1.46,6.07,64.12,5.9,119,Moderate
Bengaluru,25/03/2015,2015,March,25,Summer,62.56,3.16,23.57,16.39,,4.98,82.34,4.53,232,Poor
Bengaluru,26/03/2015,2015,March,26,Summer,60.73,4.16,32.07,21.03,1.44,1.67,67.21,1.36,132,Moderate
Bengaluru,27/03/2015,2015,March,27,Summer,42.1,4.01,25.55,17.37,2.85,2.46,51.93,0.14,123,Moderate
Bengaluru,28/03/2015,2015,March,28,Summer,40,2.93,17.99,11.36,,2.5,44.65,0.14,152,Moderate
Bengaluru,29/03/2015,2015,March,29,Summer,32.16,2.38,12.9,8.3,,2.08,56.31,0.15,143,Moderate
Bengaluru,30/03/2015,2015,March,30,Summer,30.78,2.68,16.23,14.63,1.46,2.63,49.52,0.14,80,Satisfactory
Bengaluru,31/03/2015,2015,March,31,Summer,38.99,2.6,10.97,12.7,1.79,2.79,47.67,0.14,90,Satisfactory
Bengaluru,01/04/2015,2015,April,1,Summer,36.42,2.68,8.83,9.13,,3.17,48.25,0.14,151,Moderate
Bengaluru,02/04/2015,2015,April,2,Summer,38.15,4.24,10.29,9.99,,7.65,53.26,0.14,123,Moderate
Bengaluru,03/04/2015,2015,April,3,Summer,35.11,2.63,5.99,6.82,,2.32,57.75,0.14,178,Moderate
Bengaluru,04/04/2015,2015,April,4,Summer,36.68,3.63,12.89,10.88,1.47,3.29,76.36,0.13,101,Moderate
Bengaluru,05/04/2015,2015,April,5,Summer,36.92,2.2,9,7.6,,4.07,65.62,0.14,160,Moderate
Bengaluru,06/04/2015,2015,April,6,Summer,31.78,2.48,8.14,8.06,0.55,7.22,54.31,0.18,71,Satisfactory
Bengaluru,07/04/2015,2015,April,7,Summer,37.25,2.86,7.14,11.25,2.3,5.88,60.42,0.2,76,Satisfactory
Bengaluru,08/04/2015,2015,April,8,Summer,29.8,2.59,9.04,7.52,,1.84,49.55,0.12,153,Moderate
Bengaluru,09/04/2015,2015,April,9,Summer,25.06,3.21,8.72,7.2,,2.6,42.63,0.13,80,Satisfactory
